"","company","salary"
"1","Selby Jennings",180080
"2","Kforce",173701
"3","ICONSTAFF",141163
"4","Harnham",138230
"5","Gables Search Group",140000
"6","Absolute Opportunities",134174
"7","CyberCoders",123036
"8","Jobspring Partners",121919
"9","Diversity Search",119912
"10","TechInMotion",113769
"11","Step Beyond",115953
"12","Superior Search Consultants, Inc.",115953
"13","Prosigo Executive Search",115953
"14","Client Staffing Solutions",115953
"15","Systematic business consulting",115953
"16","MJ Recruiters, LLC",115953
"17","Ploeger Recruiting Services",115953
"18","Onboard.jobs",115953
"19","Bio",115953
"20","CMD And Associates",115953
"21","JDP Search Group",115953
"22","AutoPro Technical Recruiting",115953
"23","Hire Horizons",115953
"24","SearchStars",115953
"25","Career Brokers, Inc.",115953
"26","Technology Recruiting Solutions, Inc.",115953
"27","Fowler Placement Services, Inc.",115953
"28","Plastic Executive Recruiters",115953
"29","Prevalent Group",115953
"30","PSU Personnel Services Unlimited, Inc.",115953
"31","Helffrich International",115953
"32","True North Consultants",115953
"33","Tri",115953
"34","Lodestar Executive Search",115686
"35","Jim Crumpley & Associates",115686
"36","Affinity Executive Search",115223
"37","Bertram & Associates",115081
"38","Ability Professional Network",115081
"39","fulltimeGiGS",114143
"40","MMS Group",114356
"41","ONESource Technical",114356
"42","Clifton Johnson Associates, Inc.",113889
"43","The Bivium Group",113498
"44","Professional Recruiting Partners, LLC",112805
"45","The Job Jobber",112375
"46","PMG Employment Consultants",112375
"47","Liberty Mutual",114351
"48","GQR Global Markets",111812
"49","State Street Corporation.",105742
"50","Wayfair",85035
"51","Big Wednesday Digital",115072
"52","Strategic Employment Partners",145318
"53","Roberts Recruiting",131058
"54","MCGRAW",137367
"55","Liberty Mutual Group, Inc.",106795
