"","company","salary"
"1","Computer Futures Solutions",131089
"2","Harnham",185309
"3","GQR Global Markets",176067
"4","Selby Jennings",154035
"5","Experis",150994
"6","Huxley Associates",143377
"7","Intl CPG Firm, Chicago, IL",143021
"8","CyberCoders",128692
"9","Workbridge Associates",126291
"10","Motion Recruitment Partners Prod",128176
"11","Computer Futures Solutions",119062
"12","Benton Search Assoc., Inc.",118181
"13","Huxley Banking & Financial Services",118904
"14","Groupon",115538
"15","CCC Information Services Inc.",112521
"16","ThoughtWorks",109898
"17","Selby Jennings",104400
"18","Experis",114400
"19","Huxley Associates",104761
"20","Robert Half Technology",102202
"21","Groupon",99410
"22","Next Step Systems",98058
"23","CCC Information Services Inc.",83166
"24","ThoughtWorks",82674
"25","Robert Half Technology",71060
"26","Information Resources Inc.",60671
