"","company","salary"
"1","NJF Search",300000
"2","Averity",202769
"3","Harnham",189098
"4","Intelletec LLC",186021
"5","Forrester Bradley International",180463
"6","Selby Jennings",171443
"7","Intelletec",172013
"8","SearchStars",162525
"9","PSU Personnel Services Unlimited, Inc.",162525
"10","Huxley Associates",163455
"11","MyFitnessPal, Inc.",158499
"12","HSF Consulting",160000
"13","The Job Jobber",158764
"14","Motion Recruitment Partners Prod",157351
"15","Zillow",147026
"16","Thumbtack, Inc.",149063
"17","Tekdevs",150000
"18","Lyft",147633
"19","Workbridge Associates",144415
"20","CyberCoders",141847
"21","Jobspring Partners",140147
"22","Pinterest",141466
"23","ALTX",140000
"24","Stitch Fix",138764
"25","All",137204
"26","Airbnb",137702
"27","Analytic Recruiting",135025
"28","TechInMotion",132652
"29","Career Development Partners",134002
"30","Glocomms",154598
"31","Twitter",132423
"32","Robert Half Technology",130843
"33","Salesforce",130786
"34","Dropbox",129522
"35","Workday",127615
"36","Zynga",127405
"37","Quid, Inc.",124158
"38","GAP Inc.",122895
"39","Uber",119933
"40","Advertex Communications, Inc.",117435
"41","Square, Inc.",118717
"42","Credit Karma",113836
"43","Eventbrite",116617
"44","RelayRides, Inc.",107331
"45","Zendrive",103066
"46","AppZen",95000
"47","Esurance",93863
"48","MW Partners",97760
"49","ProductBio",60000
"50","Ravel Law",31200
"51","Sojern, Inc.",111552
"52","Velossent",203843
